date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2020/12/21,52,SE,40221,624,2.6,93.9,25,59.334591,18.063240,46511,610,40703,486,200,200,200,400,100,100,100,300
2020/12/21,52,DK,17078,134,4.3,91.5,137,55.676098,12.568337,25046,84,20524,57,200,200,200,400,0,100,0,300
2020/12/21,52,NO,2157,17,1,87.2,15,59.911491,10.757933,2753,17,2651,33,100,200,200,400,0,100,100,200
2020/12/21,52,FI,1502,35,1.8,94.1,18,60.192059,24.945831,2132,36,3232,38,200,200,200,400,0,100,0,300
2020/12/28,53,SE,42213,674,3,93.6,25,59.334591,18.063240,40221,624,46511,610,200,200,200,400,100,100,100,300
2020/12/28,53,DK,14902,192,3.5,87.8,137,55.676098,12.568337,17078,134,25046,84,200,200,200,400,0,100,0,300
2020/12/28,53,NO,3346,15,-0.2,95.6,15,59.911491,10.757933,2157,17,2753,17,100,200,200,400,0,100,100,200
2020/12/28,53,FI,2520,37,0.4,93.4,18,60.192059,24.945831,1502,35,2132,36,200,200,200,400,0,100,0,300
2021/01/04,54,SE,37691,645,-0.4,92.5,25,59.334591,18.063240,42213,674,40221,624,200,200,200,400,100,100,100,300
2021/01/04,54,DK,11862,197,1.7,87.4,137,55.676098,12.568337,14902,192,17078,134,300,300,200,400,0,100,0,300
2021/01/04,54,NO,5514,35,-8.1,90.4,15,59.911491,10.757933,3346,15,2157,17,200,200,200,400,0,100,100,200
2021/01/04,54,FI,1788,25,-3.4,92.1,18,60.192059,24.945831,2520,37,1502,35,200,200,200,400,0,100,0,300
2021/01/11,55,SE,32590,634,-2.8,94.5,25,59.334591,18.063240,37691,645,42213,674,200,200,200,400,100,100,100,300
2021/01/11,55,DK,7236,205,0.5,86.3,137,55.676098,12.568337,11862,197,14902,192,300,300,200,400,0,100,0,400
2021/01/11,55,NO,3942,46,-9,88.7,15,59.911491,10.757933,5514,35,3346,15,200,200,200,400,0,100,100,200
2021/01/11,55,FI,1709,32,-9.7,88.7,18,60.192059,24.945831,1788,25,2520,37,200,200,200,400,0,100,0,300
2021/01/18,56,SE,23131,542,1.2,90.1,25,59.334591,18.063240,32590,634,37691,645,200,200,200,400,100,100,100,300
2021/01/18,56,DK,5426,222,2.9,90.3,137,55.676098,12.568337,7236,205,11862,197,300,300,200,400,0,100,0,400
2021/01/18,56,NO,2831,27,-2.5,94.2,15,59.911491,10.757933,3942,46,5514,35,200,200,200,400,100,100,100,200
2021/01/18,56,FI,2233,30,-4.3,92.2,18,60.192059,24.945831,1709,32,1788,25,200,200,200,400,0,100,0,300
2021/01/25,57,SE,20323,407,-3.9,90.1,25,59.334591,18.063240,23131,542,32590,634,200,200,200,400,100,100,100,300
